SYMBOL,LOT_SIZE
ASHOKLEY,5000
BANKBARODA,2925
BEL,2850
BHEL,2625
CANBK,6750
CESC,2925
COALINDIA,2100
DELHIVERY,2075
GAIL,3150
GLENMARK,775
GMRINFRA,6975
HINDCOPPER,2650
HINDPETRO,2700
HUDCO,3300
IDFCFIRSTB,9275
IEX,3750
INDHOTEL,1000
INDUSTOWER,1700
IOC,4875
IRB,10200
IRFC,4250
JINDALSTEL,625
JUBLFOOD,1250
LICHSGFIN,1000
MANAPPURAM,3000
MOTHERSON,6150
NATIONALUM,3750
NBCC,6500
NMDC,6750
NTPC,2250
ONGC,2250
PEL,750
PETRONET,1500
PFC,1300
PNB,8000
POWERGRID,1900
SAIL,4700
SBIN,750
TATAPOWER,1450
TATAMOTORS,800
TORNTPOWER,375
VEDL,1150
WIPRO,3000
YESBANK,26000
